Date,Open,Close,High,Low,Volume
2018/5/2,3769.9251,3763.6461,3787.3025,3744.5475,8330103500
2018/5/3,3756.1657,3793.0001,3797.5269,3732.3718,9396111800
2018/5/4,3784.3161,3774.5981,3801.5243,3770.9389,7155428800
2018/5/7,3782.5404,3834.1877,3834.5872,3776.0296,8728619500
2018/5/8,3834.6141,3878.6767,3892.0732,3833.729,9421515700
2018/5/9,3876.1296,3871.6152,3878.9382,3855.7392,6671296600
2018/5/10,3882.8357,3893.0565,3894.4902,3867.3084,7066780900
2018/5/11,3902.1481,3872.8383,3903.3378,3871.9523,7335660400
2018/5/14,3886.8736,3909.2933,3919.2999,3886.8736,8197599900
2018/5/15,3920.1395,3924.0975,3924.3427,3892.9198,7604955500
2018/5/16,3909.8183,3892.8442,3923.3433,3889.1877,7191364600
2018/5/17,3895.4895,3864.0507,3899.5137,3858.8525,5903012300
2018/5/18,3860.1644,3903.0637,3903.0637,3841.896,7261395600
2018/5/21,3925.5394,3921.2421,3937.4607,3913.6046,9264173700
2018/5/22,3918.8153,3906.2081,3918.8153,3881.169,7536877800
2018/5/23,3898.2683,3854.5825,3898.2683,3854.5825,8372231900
2018/5/24,3853.2916,3827.217,3859.1034,3823.9235,6834502200
2018/5/25,3823.7448,3816.498,3841.1244,3804.1349,7083638600
2018/5/28,3816.2649,3833.2599,3846.5525,3799.3207,7152113200
2018/5/29,3824.1909,3804.0093,3841.7794,3800.6749,8155266200
2018/5/30,3755.1764,3723.3724,3767.8872,3722.0719,8791328500
2018/5/31,3749.2954,3802.3759,3804.7919,3742.5287,9266689400
2018/6/1,3789.6716,3770.5891,3802.5366,3753.8395,7782181300
2018/6/4,3785.1869,3807.5781,3813.4065,3776.6185,7662434100
2018/6/5,3811.2852,3845.3164,3845.5648,3800.9256,7868736000
2018/6/6,3839.683,3837.3511,3848.3295,3830.8956,7311723700
2018/6/7,3846.9367,3831.0128,3859.8476,3827.6874,8025614700
2018/6/8,3819.4477,3779.6159,3819.4607,3759.2717,8333733500
2018/6/11,3770.208,3779.9818,3792.548,3756.5148,6870983400
2018/6/12,3783.1858,3825.9534,3830.471,3765.2644,7320624400
2018/6/13,3814.6174,3788.3391,3817.4528,3782.0728,6637797000
2018/6/14,3774.6396,3773.3655,3808.1616,3759.2484,6847132200
2018/6/15,3763.0405,3753.4338,3780.3368,3737.4282,8548889300
2018/6/19,3702.6681,3621.1166,3712.8162,3583.0208,16070654200
2018/6/20,3602.5512,3635.4436,3649.3359,3578.1743,8671809800
2018/6/21,3633.5558,3592.965,3673.5625,3589.4899,9390855200
2018/6/22,3567.8939,3608.9046,3609.0751,3542.4564,7511786400
2018/6/25,3625.7984,3560.4777,3631.0253,3559.0343,7987707800
2018/6/26,3521.5876,3531.1112,3541.782,3478.2134,8498526900
2018/6/27,3525.1323,3459.2621,3537.6569,3441.785,8149181700
2018/6/28,3434.9441,3423.5255,3477.0565,3416.9476,7591805100
2018/6/29,3431.9619,3510.9845,3512.3834,3425.2159,7725703100
2018/7/2,3504.4571,3407.9638,3506.8996,3383.5006,8435144900
2018/7/3,3410.4767,3409.2801,3422.0398,3319.2889,9527869300
2018/7/4,3398.7788,3363.7473,3418.3311,3359.0861,7515799700
2018/7/5,3365.5547,3342.4379,3398.4852,3330.7113,8158798100
2018/7/6,3347.0624,3365.1227,3396.2458,3295.7296,8609757900
2018/7/9,3378.9056,3459.1837,3459.3153,3378.9056,7660154500
2018/7/10,3464.9064,3467.5155,3474.1396,3437.2706,6954882300
2018/7/11,3398.9265,3407.5297,3427.5705,3375.1441,7204095000
2018/7/12,3403.3302,3481.0559,3499.097,3403.3302,9635356400
2018/7/13,3488.4966,3492.6897,3499.7643,3474.9123,7295589700
2018/7/16,3488.967,3472.0859,3506.2355,3459.7312,6828199900
2018/7/17,3466.4236,3449.3773,3467.1852,3420.9714,6198307600
2018/7/18,3456.6065,3431.3227,3479.2635,3430.1563,6653033000
2018/7/19,3444.8032,3428.343,3466.5056,3417.9627,6847771600
2018/7/20,3426.4558,3492.8938,3505.928,3398.9532,10198472700
2018/7/23,3471.8555,3525.7503,3527.5335,3464.6475,11903662700
2018/7/24,3530.6641,3581.7057,3596.5128,3530.6641,15691243500
2018/7/25,3589.5055,3577.7522,3589.9841,3566.314,9675850100
2018/7/26,3583.3173,3536.2456,3593.9227,3528.6442,9034964100
2018/7/27,3533.7714,3521.2269,3545.4058,3512.7034,7017810400
2018/7/30,3520.8538,3515.0794,3550.902,3489.5494,8211699500
2018/7/31,3510.4744,3517.6568,3528.154,3493.1545,6798081700
2018/8/1,3530.0298,3447.3882,3543.606,3446.7765,9034861700
2018/8/2,3434.3516,3370.9579,3434.3516,3322.096,10130872700
2018/8/3,3366.6637,3315.2839,3381.3417,3315.2008,7079691000
2018/8/6,3312.8153,3273.2728,3344.246,3257.6856,7797508300
2018/8/7,3284.9785,3368.8695,3368.962,3263.4986,9178391600
2018/8/8,3362.1485,3314.5075,3368.1602,3311.7694,7928486500
2018/8/9,3303.4765,3397.5298,3408.3911,3299.6157,9195757200
2018/8/10,3398.4139,3405.0191,3424.0411,3380.5731,6896729900
2018/8/13,3369.9812,3390.3441,3396.1883,3336.6956,7619153200
2018/8/14,3386.4832,3372.9137,3391.729,3356.6142,6065144600
2018/8/15,3371.959,3291.976,3372.1369,3288.7088,6817405500
2018/8/16,3251.8556,3276.7276,3315.2031,3231.5561,7654736600
2018/8/17,3305.8954,3229.6198,3311.5729,3224.0999,6739541300
2018/8/20,3238.215,3267.2498,3267.2498,3209.0115,7090422800
2018/8/21,3271.8402,3326.6489,3331.7077,3270.0302,7520558300
2018/8/22,3328.9693,3307.9545,3328.9693,3299.3938,5078705700
2018/8/23,3308.4589,3320.0257,3336.1123,3285.8141,6111233400
2018/8/24,3308.4778,3325.3347,3353.0445,3291.8654,6376589700
2018/8/27,3339.3894,3406.5735,3406.5735,3339.2646,9427008200
2018/8/28,3408.1502,3400.1705,3416.5929,3388.8143,7544536300
2018/8/29,3393.0527,3386.5736,3398.7139,3377.1231,6702040400
2018/8/30,3385.8052,3351.0942,3402.5626,3349.4688,6838529000
2018/8/31,3333.3801,3334.5036,3356.5757,3310.8726,7620563000
2018/9/3,3320.6898,3321.8248,3325.607,3291.7842,6642985500
2018/9/4,3324.186,3363.8984,3370.963,3307.9585,6708880700
2018/9/5,3349.6983,3298.1412,3354.1991,3298.1412,6430188800
2018/9/6,3286.6645,3262.8808,3311.4973,3253.7552,6230028800
2018/9/7,3273.8906,3277.6438,3316.6149,3253.725,6394740800
2018/9/10,3271.3818,3230.0681,3277.884,3227.8481,6381705100
2018/9/11,3229.7052,3224.2116,3245.617,3209.1121,5849130500
2018/9/12,3216.9911,3202.0248,3225.6014,3194.9785,5462789900
2018/9/13,3239.6852,3236.5662,3249.593,3191.3975,6729032700
2018/9/14,3242.8307,3242.0902,3254.1043,3227.9439,6013064000
2018/9/17,3224.9267,3204.9224,3230.7878,3200.5096,5225954700
2018/9/18,3193.6423,3269.4319,3270.107,3193.6423,7042503500
2018/9/19,3261.997,3312.4823,3335.9913,3258.3097,8917066600
2018/9/20,3314.8758,3310.1258,3332.3093,3303.073,6456105700
